entidade,preco_fecho,dates
BCA,7100.0,2024-06-30
BCA,7224.0,2024-05-31
BCA,5500.0,2024-04-30
BCA,4500.0,2024-03-31
BCA,4500.0,2024-02-29
BCA,4500.0,2024-01-31
BCA,4500.0,2023-12-31
BCA,4195.0,2023-11-30
BCA,4000.0,2023-10-31
BCA,4100.0,2023-09-30
BCA,4100.0,2023-08-31
BCA,4100.0,2023-07-31
BCA,3360.0,2023-06-30
BCA,3360.0,2023-05-31
BCA,2800.0,2023-04-30
BCA,2800.0,2023-03-31
BCA,2800.0,2023-02-28
BCA,2800.0,2023-01-31
BCA,2800.0,2022-12-27
BCA,2758.0,2022-08-19
BCA,2758.0,2022-08-18
BCA,2664.0,2022-05-24
BCA,2220.0,2022-04-20
BCA,2220.0,2022-04-13
BCA,1850.0,2022-03-30
BCA,1850.0,2022-03-29
BCA,1900.0,2022-02-11
BCA,1900.0,2022-02-03
BCA,1900.0,2022-02-02
BCA,2000.0,2022-01-28
BCA,1821.0,2022-01-11
BCA,1920.0,2022-01-07
BCA,1900.0,2021-12-29
BCA,1920.0,2021-12-28
BCA,1700.0,2021-12-13
BCA,1700.0,2021-12-08
BCA,1700.0,2021-11-30
BCA,1600.0,2021-11-19
BCA,1700.0,2021-11-18
BCA,1700.0,2021-11-15
BCA,1600.0,2021-10-15
BCA,1800.0,2021-06-04
BCA,1800.0,2021-05-20
BCA,2000.0,2021-05-13
BCA,2100.0,2021-05-10
BCA,2100.0,2021-05-04
BCA,1900.0,2021-05-03
BCA,2100.0,2021-04-28
BCA,1900.0,2021-04-15
BCA,1800.0,2021-04-12
BCA,1800.0,2021-04-09
BCA,1700.0,2021-04-08
BCA,1700.0,2021-04-01
BCA,1900.0,2021-02-18
BCA,1900.0,2020-11-02
BCA,1900.0,2020-09-18
BCA,2000.0,2020-08-27
BCA,2100.0,2020-08-26
BCA,2100.0,2020-08-24
BCA,2000.0,2020-08-13
BCA,1713.0,2020-08-07
BCA,1713.0,2020-07-31
BCA,1428.0,2020-05-21
BCA,1428.0,2020-04-20
BCA,1680.0,2020-03-18
BCA,1680.0,2020-03-10
BCA,1680.0,2020-03-04
BCA,2100.0,2020-01-03
BCA,2430.0,2019-08-23
BCA,2500.0,2019-06-17
BCA,2700.0,2019-05-06
BCA,2500.0,2019-04-18
BCA,2400.0,2019-04-09
BCA,2400.0,2019-01-03
BCA,2000.0,2018-12-11
BCA,2500.0,2018-06-05
BCA,2500.0,2018-05-16
BCA,2550.0,2018-02-05
BCA,2850.0,2018-01-26
BCA,2850.0,2017-12-13
BCA,2850.0,2017-04-04
BCA,2799.0,2017-03-27
BCA,2799.0,2017-03-21
BCA,2800.0,2017-02-10
BCA,2900.0,2016-11-28
BCA,3000.0,2015-11-03
BCA,3000.0,2015-10-30
BCA,3000.0,2015-09-24
BCA,3000.0,2015-09-18
BCA,3000.0,2015-09-15
BCA,3000.0,2015-08-24
BCA,3000.0,2015-07-27
BCA,3000.0,2015-07-24
BCA,3000.0,2015-07-23
BCA,2900.0,2015-06-23
BCA,3450.0,2015-05-26
BCA,3450.0,2015-05-25
BCA,3500.0,2015-04-27
BCA,3500.0,2015-04-24
BCA,3500.0,2015-04-09
BCA,3500.0,2015-04-08
BCA,3500.0,2015-04-06
BCA,2990.0,2014-10-15
BCA,3000.0,2014-10-10
BCA,3090.0,2014-07-10
BCA,3100.0,2014-06-17
BCA,3200.0,2014-03-28
BCA,3200.0,2014-03-06
BCA,3000.0,2014-02-21
