entidade,preco_fecho,dates
SCT,5750.0,2024-06-30
ENA,11000.0,2024-06-30
CAIXA,7180.0,2024-06-30
BCA,7100.0,2024-06-30
SCT,8910.0,2024-05-31
ENA,11000.0,2024-05-31
CAIXA,5368.0,2024-05-31
BCA,7224.0,2024-05-31
SCT,10480.0,2024-04-30
ENA,9700.0,2024-04-30
CAIXA,4079.0,2024-04-30
BCA,5500.0,2024-04-30
SCT,9610.0,2024-03-31
ENA,11000.0,2024-03-31
CAIXA,3400.0,2024-03-31
BCA,4500.0,2024-03-31
SCT,8500.0,2024-02-29
ENA,10000.0,2024-02-29
CAIXA,3400.0,2024-02-29
BCA,4500.0,2024-02-29
SCT,7100.0,2024-01-31
ENA,9900.0,2024-01-31
CAIXA,3400.0,2024-01-31
BCA,4500.0,2024-01-31
SCT,8800.0,2023-12-31
ENA,9900.0,2023-12-31
CAIXA,3400.0,2023-12-31
BCA,4500.0,2023-12-31
SCT,10800.0,2023-11-30
ENA,9900.0,2023-11-30
CAIXA,3400.0,2023-11-30
BCA,4195.0,2023-11-30
SCT,13000.0,2023-10-31
ENA,8770.0,2023-10-31
CAIXA,3225.0,2023-10-31
BCA,4000.0,2023-10-31
SCT,14950.0,2023-09-30
ENA,13680.0,2023-09-30
CAIXA,3225.0,2023-09-30
BCA,4100.0,2023-09-30
SCT,14950.0,2023-08-31
ENA,13680.0,2023-08-31
CAIXA,3225.0,2023-08-31
BCA,4100.0,2023-08-31
SCT,7700.0,2023-07-31
ENA,9000.0,2023-07-31
CAIXA,3225.0,2023-07-31
BCA,4100.0,2023-07-31
SCT,6500.0,2023-06-30
ENA,9000.0,2023-06-30
CAIXA,3225.0,2023-06-30
BCA,3360.0,2023-06-30
SCT,6500.0,2023-05-31
ENA,7500.0,2023-05-31
CAIXA,3225.0,2023-05-31
BCA,3360.0,2023-05-31
SCT,6500.0,2023-04-30
ENA,7200.0,2023-04-30
CAIXA,3500.0,2023-04-30
BCA,2800.0,2023-04-30
SCT,6500.0,2023-03-31
ENA,7200.0,2023-03-31
CAIXA,3500.0,2023-03-31
BCA,2800.0,2023-03-31
SCT,6500.0,2023-02-28
ENA,7200.0,2023-02-28
CAIXA,3500.0,2023-02-28
