entidade,preco_fecho,dates
CAIXA,7180.0,2024-06-30
CAIXA,5368.0,2024-05-31
CAIXA,4079.0,2024-04-30
CAIXA,3400.0,2024-03-31
CAIXA,3400.0,2024-02-29
CAIXA,3400.0,2024-01-31
CAIXA,3400.0,2023-12-31
CAIXA,3400.0,2023-11-30
CAIXA,3225.0,2023-10-31
CAIXA,3225.0,2023-09-30
CAIXA,3225.0,2023-08-31
CAIXA,3225.0,2023-07-31
CAIXA,3225.0,2023-06-30
CAIXA,3225.0,2023-05-31
CAIXA,3500.0,2023-04-30
CAIXA,3500.0,2023-03-31
CAIXA,3500.0,2023-02-28
CAIXA,3500.0,2023-01-31
CAIXA,3500.0,2022-12-27
CAIXA,3100.0,2022-01-28
CAIXA,2735.0,2022-01-12
CAIXA,2735.0,2021-12-29
CAIXA,2735.0,2021-10-06
CAIXA,2735.0,2021-09-23
CAIXA,2280.0,2021-05-25
CAIXA,2280.0,2021-05-24
CAIXA,2280.0,2021-04-08
CAIXA,2280.0,2021-03-01
CAIXA,2280.0,2021-02-25
CAIXA,2290.0,2021-02-17
CAIXA,2290.0,2020-11-09
CAIXA,2290.0,2020-10-19
CAIXA,2290.0,2020-10-07
CAIXA,2290.0,2020-10-06
CAIXA,2290.0,2020-09-18
CAIXA,2290.0,2020-08-24
CAIXA,2300.0,2020-06-04
CAIXA,2400.0,2019-12-03
CAIXA,2400.0,2019-12-02
CAIXA,2490.0,2019-02-27
CAIXA,2900.0,2018-04-23
CAIXA,2900.0,2018-01-30
CAIXA,2900.0,2018-01-02
CAIXA,2910.0,2017-10-02
CAIXA,2910.0,2017-09-27
CAIXA,2910.0,2016-10-04
CAIXA,2910.0,2016-06-30
CAIXA,2910.0,2016-04-22
CAIXA,3095.0,2016-02-01
CAIXA,3100.0,2015-08-17
CAIXA,3000.0,2015-06-19
CAIXA,3000.0,2015-06-16
CAIXA,3000.0,2015-06-09
CAIXA,2990.0,2015-03-03
CAIXA,3000.0,2015-01-06
CAIXA,3000.0,2014-11-21
CAIXA,3000.0,2014-07-29
CAIXA,3000.0,2014-03-24
CAIXA,3000.0,2013-05-10
CAIXA,2875.0,2013-05-09
CAIXA,2500.0,2013-04-08
CAIXA,2700.0,2013-01-21
CAIXA,2700.0,2012-07-03
CAIXA,3100.0,2012-04-26
CAIXA,3100.0,2012-04-13
CAIXA,3000.0,2012-02-13
CAIXA,2900.0,2011-09-02
CAIXA,2810.0,2011-05-26
CAIXA,2800.0,2011-01-14
CAIXA,2585.0,2010-12-30
CAIXA,2585.0,2010-12-23
CAIXA,2585.0,2010-12-15
CAIXA,2585.0,2010-05-14
CAIXA,2400.0,2010-05-10
CAIXA,2585.0,2010-02-22
CAIXA,2250.0,2010-02-18
CAIXA,2475.0,2010-02-15
CAIXA,2250.0,2010-02-12
CAIXA,2070.0,2010-02-03
CAIXA,2435.0,2010-01-26
CAIXA,6000.0,2009-03-23
CAIXA,6000.0,2009-03-09
CAIXA,6000.0,2009-02-12
CAIXA,6500.0,2008-11-05
CAIXA,6500.0,2008-07-23
CAIXA,6500.0,2008-04-30
CAIXA,6100.0,2007-05-16
CAIXA,6100.0,2006-05-23
