entidade,preco_fecho,dates
ENA,11000.0,2024-06-30
ENA,11000.0,2024-05-31
ENA,9700.0,2024-04-30
ENA,11000.0,2024-03-31
ENA,10000.0,2024-02-29
ENA,9900.0,2024-01-31
ENA,9900.0,2023-12-31
ENA,9900.0,2023-11-30
ENA,8770.0,2023-10-31
ENA,13680.0,2023-09-30
ENA,13680.0,2023-08-31
ENA,9000.0,2023-07-31
ENA,9000.0,2023-06-30
ENA,7500.0,2023-05-31
ENA,7200.0,2023-04-30
ENA,7200.0,2023-03-31
ENA,7200.0,2023-02-28
ENA,7200.0,2023-01-31
ENA,7200.0,2022-12-27
ENA,6000.0,2022-11-08
ENA,6000.0,2022-10-11
ENA,6000.0,2022-10-10
ENA,5200.0,2022-09-09
ENA,5200.0,2022-08-26
ENA,5200.0,2022-08-24
ENA,5200.0,2022-08-23
ENA,5400.0,2022-06-03
ENA,5400.0,2022-04-04
ENA,4500.0,2020-11-13
ENA,4610.0,2020-10-01
ENA,5500.0,2020-09-30
ENA,4610.0,2020-04-01
ENA,4855.0,2020-02-27
ENA,4800.0,2020-02-19
ENA,4750.0,2020-02-14
ENA,4701.0,2020-02-12
ENA,4610.0,2020-02-06
ENA,4501.0,2020-02-05
ENA,4501.0,2020-02-04
ENA,4370.0,2020-01-21
ENA,3826.0,2019-12-18
ENA,3326.0,2019-10-17
ENA,2972.0,2019-09-24
ENA,2772.0,2019-05-15
ENA,2772.0,2019-05-13
ENA,2772.0,2019-05-02
ENA,2772.0,2019-01-28
ENA,2310.0,2018-09-05
ENA,2300.0,2018-07-11
ENA,2400.0,2018-07-06
ENA,2300.0,2018-06-05
ENA,2310.0,2018-05-29
ENA,2310.0,2018-02-01
ENA,2310.0,2018-01-26
ENA,2310.0,2018-01-24
ENA,2310.0,2017-09-28
ENA,2310.0,2017-08-08
ENA,2500.0,2017-08-01
ENA,2310.0,2017-01-09
ENA,2310.0,2016-12-26
ENA,2300.0,2016-12-21
ENA,2300.0,2016-12-13
ENA,2300.0,2016-12-12
ENA,2000.0,2016-09-05
ENA,2000.0,2016-08-31
ENA,2000.0,2016-05-12
ENA,2400.0,2016-04-22
ENA,2380.0,2016-03-08
ENA,2800.0,2015-09-23
ENA,2800.0,2015-09-07
ENA,2800.0,2015-08-24
ENA,2450.0,2015-08-18
ENA,2450.0,2015-08-12
ENA,2450.0,2015-07-07
ENA,2450.0,2015-05-08
ENA,2800.0,2014-12-26
ENA,3290.0,2014-12-11
ENA,3870.0,2014-12-09
ENA,4300.0,2014-12-04
ENA,4300.0,2014-11-17
ENA,4301.0,2014-09-23
ENA,4301.0,2014-08-28
ENA,4301.0,2014-08-26
ENA,4301.0,2014-08-13
ENA,4301.0,2014-08-12
ENA,4301.0,2014-08-05
ENA,4301.0,2014-07-30
ENA,4301.0,2014-07-29
ENA,4301.0,2014-07-24
ENA,4301.0,2014-07-17
ENA,4301.0,2014-07-09
ENA,4301.0,2014-06-18
ENA,4301.0,2014-06-11
ENA,4281.0,2014-06-03
ENA,3740.0,2014-05-12
ENA,4000.0,2014-04-22
ENA,3740.0,2014-04-11
ENA,3740.0,2014-04-07
ENA,3740.0,2014-03-11
ENA,3740.0,2013-12-17
ENA,4400.0,2013-10-09
ENA,4420.0,2013-06-07
ENA,4400.0,2013-06-06
ENA,4000.0,2013-04-11
ENA,4099.0,2013-03-28
ENA,4005.0,2013-03-11
ENA,4050.0,2013-02-27
ENA,4000.0,2013-02-19
ENA,4000.0,2013-02-05
ENA,4000.0,2013-02-04
ENA,3850.0,2013-01-25
ENA,3565.0,2013-01-23
ENA,3565.0,2013-01-22
ENA,3565.0,2013-01-11
ENA,3565.0,2013-01-09
ENA,3565.0,2013-01-04
ENA,3150.0,2012-12-28
ENA,3100.0,2012-10-25
ENA,3100.0,2012-10-19
ENA,3150.0,2012-09-20
ENA,3500.0,2012-07-25
ENA,4000.0,2012-06-04
ENA,4000.0,2012-05-11
ENA,4400.0,2012-04-24
ENA,4000.0,2012-04-13
ENA,4000.0,2012-04-11
ENA,4100.0,2012-03-22
ENA,4100.0,2012-02-21
ENA,4100.0,2012-02-20
ENA,4100.0,2012-02-16
ENA,4400.0,2012-01-12
ENA,4100.0,2011-12-01
ENA,4400.0,2011-11-29
ENA,4200.0,2011-10-28
ENA,4200.0,2011-08-18
ENA,4100.0,2011-08-11
ENA,4400.0,2011-08-10
