entidade,preco_fecho,dates
SCT,5750.0,2024-06-30
SCT,8910.0,2024-05-31
SCT,10480.0,2024-04-30
SCT,9610.0,2024-03-31
SCT,8500.0,2024-02-29
SCT,7100.0,2024-01-31
SCT,8800.0,2023-12-31
SCT,10800.0,2023-11-30
SCT,13000.0,2023-10-31
SCT,14950.0,2023-09-30
SCT,14950.0,2023-08-31
SCT,7700.0,2023-07-31
SCT,6500.0,2023-06-30
SCT,6500.0,2023-05-31
SCT,6500.0,2023-04-30
SCT,6500.0,2023-03-31
SCT,6500.0,2023-02-28
SCT,6500.0,2023-01-31
SCT,6500.0,2022-12-27
SCT,6500.0,2022-02-25
SCT,6500.0,2022-02-23
SCT,6500.0,2022-02-15
SCT,6500.0,2022-02-10
SCT,6000.0,2021-09-11
SCT,5500.0,2021-09-09
SCT,5500.0,2021-09-07
SCT,5050.0,2020-07-23
SCT,5500.0,2020-07-21
SCT,5500.0,2020-07-20
SCT,5500.0,2020-07-17
SCT,5000.0,2019-12-30
SCT,4500.0,2019-12-16
SCT,4500.0,2019-11-18
SCT,4500.0,2019-10-28
SCT,4500.0,2019-10-23
SCT,5310.0,2019-10-18
SCT,4425.0,2019-06-06
SCT,4000.0,2018-12-27
SCT,3500.0,2018-12-07
SCT,3600.0,2018-11-26
SCT,3600.0,2018-11-23
SCT,3000.0,2018-11-08
SCT,3000.0,2017-03-16
SCT,3335.0,2017-03-15
SCT,3835.0,2016-12-26
SCT,3500.0,2016-12-23
SCT,3335.0,2016-04-19
SCT,3335.0,2016-03-31
SCT,3000.0,2014-12-11
SCT,3045.0,2014-07-29
SCT,3045.0,2013-10-25
SCT,3045.0,2013-10-09
SCT,3045.0,2013-05-13
SCT,3580.0,2013-04-30
SCT,3580.0,2013-03-26
SCT,4210.0,2013-03-11
SCT,4950.0,2012-11-29
SCT,5500.0,2012-10-24
SCT,5500.0,2012-10-17
SCT,5700.0,2012-10-08
SCT,5500.0,2012-07-24
SCT,5600.0,2012-06-28
SCT,5600.0,2012-03-22
SCT,5600.0,2011-11-09
SCT,5600.0,2011-10-19
SCT,5100.0,2011-10-18
SCT,5000.0,2011-09-28
SCT,5010.0,2011-05-26
SCT,5430.0,2011-04-27
SCT,5430.0,2011-04-26
SCT,5430.0,2011-04-21
SCT,4900.0,2011-04-04
SCT,4890.0,2011-03-24
SCT,4890.0,2011-03-21
SCT,4890.0,2011-03-07
SCT,4890.0,2011-02-21
SCT,4890.0,2010-12-13
SCT,4890.0,2010-09-15
SCT,4890.0,2010-07-20
SCT,5425.0,2010-05-12
SCT,5420.0,2010-04-21
SCT,6000.0,2010-04-01
SCT,5340.0,2009-11-24
SCT,5350.0,2009-09-24
SCT,5850.0,2009-09-15
SCT,5850.0,2009-09-04
SCT,5850.0,2009-08-25
SCT,5840.0,2009-08-06
SCT,5850.0,2009-07-02
SCT,5890.0,2009-04-13
SCT,5895.0,2009-03-19
SCT,6500.0,2008-03-12
SCT,6500.0,2008-02-18
SCT,6500.0,2008-01-24
SCT,6500.0,2008-01-14
SCT,6700.0,2007-12-05
SCT,6400.0,2007-09-13
SCT,6500.0,2007-08-28
SCT,6500.0,2007-08-10
SCT,6500.0,2007-05-14
SCT,6500.0,2007-05-03
SCT,6500.0,2007-04-26
SCT,6500.0,2007-04-23
SCT,6500.0,2007-02-27
SCT,7150.0,2007-02-16
SCT,6500.0,2007-02-12
SCT,6500.0,2006-12-07
SCT,6500.0,2006-11-28
SCT,6500.0,2006-11-14
SCT,6500.0,2006-10-24
SCT,6500.0,2006-10-12
SCT,7145.0,2006-07-12
SCT,7145.0,2006-07-11
SCT,7125.0,2006-07-07
SCT,6385.0,2006-05-30
SCT,6385.0,2006-05-29
SCT,6385.0,2006-05-26
SCT,6385.0,2006-05-23
SCT,6385.0,2006-05-12
SCT,6385.0,2006-05-11
SCT,6385.0,2006-02-22
SCT,6500.0,2006-02-01
